expid	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pose	condition	eventType
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126536696	1	cuckoo	3	2	bluesport	1	3	knob	4	1	bullmastiff	2	4	cuckoo	cuckoo	true	12	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126549813	2	robin	2	3	brown	4	1	inlay	1	2	basset	3	4	robin	robin	true	39	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126562721	3	nightingale	2	3	bluesedan	3	4	waiting	1	2	chihuahua	4	1	nightingale	nightingale	true	9	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126604622	4	sparrow	4	1	crow	3	3	bluejay	2	4	tomtit	1	2	sparrow	sparrow	true	0	closer	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126616340	5	pigeon	3	4	redantique	1	3	squat	2	2	goldenretriever	4	1	pigeon	pigeon	true	31	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126659365	6	straight	1	4	sling	3	1	leather	4	2	woven	2	3	straight	straight	true	22	closer	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126677811	7	pug	4	4	weimaraner	1	3	doberman	3	2	bloodhound	2	1	pug	pug	true	36	closer	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126705647	8	beetle	3	1	redsport	4	3	white	2	4	hatchback	1	2	beetle	beetle	true	16	closer	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126723349	9	bluesport	2	3	cuckoo	1	1	knob	4	2	bullmastiff	3	4	bluesport	bluesport	true	5	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126754467	10	bluesedan	2	3	nightingale	4	1	waiting	1	4	chihuahua	3	2	bluesedan	bluesedan	true	37	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126780897	11	brown	2	1	robin	3	2	inlay	4	3	basset	1	4	brown	brown	true	7	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126815755	12	redantique	1	2	pigeon	2	3	squat	4	4	goldenretriever	3	1	redantique	redantique	true	25	further	clickedObj
pilot1	2684-ac6ed9e6-d991-4978-bcae-211dc47e958a	1502126850086	13	sling	4	1	straight	1	3	leather	3	2	woven	2	4	sling	sling	true	35	closer	clickedObj
