gameid	time	trialNum	intendedTarget	clickedObject	outcome	pose	condition	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	png
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462273325	1	pug	pug	clickedObj	1	6	closer	pug	3	2	doberman	2	4	bullmastiff	4	3	chihuahua	1	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462322558	2	straight	straight	clickedObj	1	7	closer	straight	4	1	inlay	1	4	waiting	3	3	leather	2	2
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462388487	3	bluejay	bluejay	clickedObj	1	19	closer	bluejay	4	3	cuckoo	2	1	nightingale	3	4	tomtit	1	2
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462408443	4	robin	robin	clickedObj	1	39	further	robin	4	1	brown	2	4	sling	3	2	weimaraner	1	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462426446	5	pigeon	pigeon	clickedObj	1	2	further	pigeon	3	1	beetle	2	2	squat	4	3	bloodhound	1	4
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462445094	6	crow	crow	clickedObj	1	33	further	crow	4	4	redsport	1	1	knob	2	3	basset	3	2
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462497187	7	hatchback	hatchback	clickedObj	1	28	closer	hatchback	1	3	bluesedan	3	4	bluesport	4	2	white	2	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462516481	8	sparrow	sparrow	clickedObj	1	10	further	sparrow	1	2	redantique	2	3	woven	3	4	goldenretriever	4	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462531487	9	beetle	beetle	clickedObj	1	3	further	beetle	1	2	pigeon	3	4	squat	2	1	bloodhound	4	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462565526	10	inlay	inlay	clickedObj	1	37	closer	inlay	4	1	straight	2	3	waiting	3	4	leather	1	2
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462583999	11	doberman	doberman	clickedObj	1	25	closer	doberman	4	3	pug	1	1	bullmastiff	2	2	chihuahua	3	4
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462645865	12	cuckoo	cuckoo	clickedObj	1	29	closer	cuckoo	3	2	bluejay	4	1	nightingale	1	4	tomtit	2	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462659344	13	redantique	redantique	clickedObj	1	5	further	redantique	1	2	sparrow	2	1	woven	4	4	goldenretriever	3	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462674903	14	redsport	redsport	clickedObj	1	22	further	redsport	3	4	crow	4	1	knob	2	2	basset	1	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462748818	15	bluesedan	bluesedan	clickedObj	1	32	closer	bluesedan	1	2	hatchback	2	1	bluesport	3	4	white	4	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462761796	16	brown	brown	clickedObj	1	1	further	brown	2	2	robin	3	3	sling	4	4	weimaraner	1	1
