expid	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pose	condition	eventType
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131622821	1	brown	1	3	hatchback	2	4	bluesport	4	1	white	3	2	brown	brown	true	8	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131635651	2	crow	2	1	bluesedan	1	4	knob	3	2	goldenretriever	4	3	crow	crow	true	19	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131646962	3	nightingale	4	2	beetle	1	3	inlay	3	4	bullmastiff	2	1	nightingale	nightingale	true	17	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131658227	4	tomtit	4	3	redantique	1	4	sling	3	2	chihuahua	2	1	tomtit	tomtit	true	23	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131679771	5	bluejay	3	2	cuckoo	2	4	sparrow	4	1	robin	1	3	bluejay	bluejay	true	15	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131704955	6	waiting	1	1	leather	2	3	straight	3	4	squat	4	2	waiting	waiting	true	11	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131714722	7	pigeon	2	4	redsport	4	1	woven	3	2	basset	1	3	pigeon	pigeon	true	18	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131749332	8	weimaraner	3	4	pug	2	2	bloodhound	4	1	doberman	1	3	weimaraner	weimaraner	true	1	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131765744	9	pug	4	1	weimaraner	3	2	bloodhound	2	4	doberman	1	3	pug	pug	true	2	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131775642	10	redantique	2	1	tomtit	4	2	sling	3	4	chihuahua	1	3	redantique	redantique	true	28	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131796888	11	cuckoo	2	3	bluejay	4	1	sparrow	1	2	robin	3	4	cuckoo	cuckoo	true	27	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131812345	12	hatchback	2	1	brown	1	3	bluesport	3	2	white	4	4	hatchback	hatchback	true	4	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131820613	13	bluesedan	1	2	crow	2	1	knob	3	4	goldenretriever	4	3	bluesedan	bluesedan	true	25	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131830088	14	beetle	3	2	nightingale	1	1	inlay	2	3	bullmastiff	4	4	beetle	beetle	true	24	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131840831	15	redsport	1	2	pigeon	3	3	woven	4	1	basset	2	4	redsport	redsport	true	3	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131865606	16	leather	1	1	waiting	2	3	straight	4	4	squat	3	2	leather	leather	true	29	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131877918	17	knob	3	3	crow	1	2	bluesedan	4	4	goldenretriever	2	1	knob	knob	true	9	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131891115	18	sling	4	4	tomtit	3	2	redantique	2	3	chihuahua	1	1	sling	sling	true	38	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131912508	19	bloodhound	2	1	weimaraner	1	4	pug	3	2	doberman	4	3	bloodhound	bloodhound	true	26	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131925908	20	woven	1	1	pigeon	4	2	redsport	3	4	basset	2	3	woven	woven	true	20	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131934065	21	inlay	4	1	nightingale	2	3	beetle	1	2	bullmastiff	3	4	inlay	inlay	true	35	further	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131954287	22	bluesport	4	3	brown	3	1	hatchback	1	4	white	2	2	bluesport	bluesport	true	32	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131990831	23	sparrow	2	1	bluejay	1	3	cuckoo	4	2	robin	3	4	sparrow	sparrow	true	34	closer	clickedObj
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132004934	24	straight	2	3	waiting	1	4	leather	4	1	squat	3	2	straight	straight	true	10	closer	clickedObj
