expid	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pose	condition	eventType
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131017145	1	redantique	4	4	white	3	2	beetle	1	1	hatchback	2	3	redantique	redantique	true	25	closer	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131030917	2	sparrow	1	4	redsport	3	2	straight	2	1	doberman	4	3	sparrow	sparrow	true	4	further	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131042498	3	nightingale	3	2	bluesedan	2	4	sling	1	3	bloodhound	4	1	nightingale	nightingale	true	32	further	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131057361	4	basset	3	3	chihuahua	4	2	goldenretriever	1	1	pug	2	4	basset	basset	true	27	closer	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131081453	5	crow	4	2	tomtit	2	3	cuckoo	3	1	bluejay	1	4	crow	crow	true	11	closer	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131093012	6	pigeon	3	4	bluesport	2	1	woven	1	3	bullmastiff	4	2	pigeon	pigeon	true	28	further	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131103733	7	waiting	2	3	inlay	1	4	squat	3	2	knob	4	1	waiting	waiting	true	2	closer	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131113341	8	robin	3	2	brown	2	3	leather	4	1	weimaraner	1	4	robin	robin	true	10	further	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131123948	9	brown	1	4	robin	4	3	leather	2	2	weimaraner	3	1	brown	brown	true	37	further	clickedObj
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131148243	10	tomtit	2	3	crow	3	4	cuckoo	4	2	bluejay	1	1	tomtit	tomtit	true	38	closer	clickedObj
