expid	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pose	condition	eventType
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502123903452	1	tomtit	2	2	redsport	3	4	sling	1	1	weimaraner	4	3	tomtit	tomtit	true	27	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502123921089	2	cuckoo	4	1	redantique	2	4	waiting	3	3	chihuahua	1	2	cuckoo	cuckoo	true	2	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502123938795	3	robin	1	2	pigeon	2	3	sparrow	3	4	bluejay	4	1	robin	robin	true	29	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502123950507	4	crow	4	1	white	1	4	leather	2	2	bullmastiff	3	3	crow	crow	true	3	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502123969929	5	nightingale	3	4	hatchback	2	1	knob	4	2	doberman	1	3	nightingale	nightingale	true	33	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502123986549	6	beetle	4	3	bluesport	1	4	brown	2	2	bluesedan	3	1	beetle	beetle	true	17	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124000073	7	pug	3	1	goldenretriever	2	4	bloodhound	4	3	basset	1	2	pug	pug	true	25	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124018540	8	squat	1	4	woven	2	2	straight	4	3	inlay	3	1	squat	squat	true	4	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124037210	9	woven	4	1	squat	1	3	straight	3	2	inlay	2	4	woven	woven	true	21	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124054151	10	redantique	2	4	cuckoo	3	1	waiting	4	2	chihuahua	1	3	redantique	redantique	true	22	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124075243	11	pigeon	2	1	robin	1	3	sparrow	3	2	bluejay	4	4	pigeon	pigeon	true	18	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124100482	12	bluesport	2	3	beetle	3	1	brown	1	2	bluesedan	4	4	bluesport	bluesport	true	5	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124128912	13	goldenretriever	2	3	pug	3	1	bloodhound	4	4	basset	1	2	goldenretriever	goldenretriever	true	9	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124143580	14	hatchback	4	3	nightingale	3	2	knob	2	1	doberman	1	4	hatchback	hatchback	true	11	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124154771	15	redsport	4	4	tomtit	2	2	sling	3	3	weimaraner	1	1	redsport	redsport	true	1	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124166199	16	white	4	3	crow	2	2	leather	3	4	bullmastiff	1	1	white	white	true	28	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124178285	17	knob	3	2	nightingale	4	3	hatchback	1	1	doberman	2	4	knob	knob	true	14	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124204216	18	straight	3	1	squat	2	3	woven	1	2	inlay	4	4	straight	straight	true	23	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124232627	19	sparrow	4	3	robin	2	1	pigeon	1	2	bluejay	3	4	sparrow	sparrow	true	30	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124251542	20	sling	3	2	tomtit	4	3	redsport	1	1	weimaraner	2	4	sling	sling	true	16	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124269665	21	waiting	3	1	cuckoo	4	4	redantique	2	3	chihuahua	1	2	waiting	waiting	true	31	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124295917	22	bloodhound	1	1	pug	3	3	goldenretriever	4	2	basset	2	4	bloodhound	bloodhound	true	13	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124319825	23	leather	2	4	crow	1	2	white	4	1	bullmastiff	3	3	leather	leather	true	38	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124344581	24	brown	2	2	beetle	3	1	bluesport	1	3	bluesedan	4	4	brown	brown	true	32	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124370207	25	bluejay	3	4	robin	1	3	pigeon	2	1	sparrow	4	2	bluejay	bluejay	true	35	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124391055	26	weimaraner	4	3	tomtit	3	1	redsport	1	2	sling	2	4	weimaraner	weimaraner	true	7	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124402515	27	chihuahua	4	4	cuckoo	2	1	redantique	1	3	waiting	3	2	chihuahua	chihuahua	true	26	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124430301	28	inlay	2	1	squat	3	3	woven	1	2	straight	4	4	inlay	inlay	true	8	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124447829	29	bluesedan	2	1	beetle	1	4	bluesport	3	2	brown	4	3	bluesedan	bluesedan	true	36	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124457806	30	doberman	2	3	nightingale	4	1	hatchback	3	2	knob	1	4	doberman	doberman	true	34	further	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124471957	31	basset	1	1	pug	4	4	goldenretriever	3	2	bloodhound	2	3	basset	basset	true	10	closer	clickedObj
pilot1	1725-279e49a8-065e-4a1d-9823-2a518bf555a1	1502124499781	32	bullmastiff	1	1	crow	3	3	white	4	4	leather	2	2	bullmastiff	bullmastiff	true	39	further	clickedObj
