expid	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pose	condition	eventType
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133484656	1	crow	2	1	bluesport	1	3	waiting	4	4	bullmastiff	3	2	crow	crow	true	21	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133502904	2	beetle	1	4	brown	4	3	redantique	3	2	hatchback	2	1	beetle	beetle	true	2	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133514887	3	tomtit	2	1	redsport	4	2	woven	1	4	pug	3	3	tomtit	tomtit	true	30	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133527855	4	sparrow	3	4	white	4	1	leather	1	3	chihuahua	2	2	sparrow	sparrow	true	8	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133586401	5	bluejay	2	1	robin	1	2	cuckoo	4	4	pigeon	3	3	bluejay	bluejay	true	22	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133597089	6	nightingale	4	2	bluesedan	2	4	inlay	1	3	basset	3	1	nightingale	nightingale	true	15	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133638959	7	weimaraner	1	4	bloodhound	4	3	goldenretriever	2	2	doberman	3	1	weimaraner	weimaraner	true	34	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133663064	8	knob	3	3	sling	1	2	squat	4	4	straight	2	1	knob	knob	true	20	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133681887	9	brown	2	4	beetle	4	1	redantique	3	2	hatchback	1	3	brown	brown	true	37	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133731656	10	sling	4	1	knob	1	3	squat	2	4	straight	3	2	sling	sling	true	25	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133741233	11	bluesport	2	2	crow	1	3	waiting	4	1	bullmastiff	3	4	bluesport	bluesport	true	11	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133786834	12	bloodhound	4	1	weimaraner	3	2	goldenretriever	2	4	doberman	1	3	bloodhound	bloodhound	true	13	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133795913	13	white	4	4	sparrow	3	1	leather	1	3	chihuahua	2	2	white	white	true	7	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133805567	14	redsport	2	1	tomtit	3	3	woven	1	4	pug	4	2	redsport	redsport	true	39	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133814088	15	bluesedan	2	2	nightingale	1	4	inlay	4	1	basset	3	3	bluesedan	bluesedan	true	29	further	clickedObj
