expid	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pose	condition	eventType
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502121900068	1	basset	1	3	bullmastiff	4	1	bloodhound	2	4	doberman	3	2	basset	basset	true	1	closer	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502121916231	2	nightingale	4	2	robin	3	3	crow	2	4	sparrow	1	1	nightingale	nightingale	true	5	closer	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502121933197	3	tomtit	2	2	bluesedan	1	1	woven	3	4	weimaraner	4	3	tomtit	tomtit	true	33	further	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502121981014	4	brown	3	4	redantique	1	2	bluesport	2	3	white	4	1	brown	brown	true	7	closer	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502121994250	5	cuckoo	3	1	hatchback	4	2	sling	2	4	pug	1	3	cuckoo	cuckoo	true	9	further	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502122007327	6	bluejay	4	1	beetle	1	2	knob	3	4	goldenretriever	2	3	bluejay	bluejay	true	10	further	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502122028314	7	straight	1	2	waiting	4	1	squat	2	4	inlay	3	3	straight	straight	true	14	closer	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502122047562	8	pigeon	3	1	redsport	2	4	leather	4	2	chihuahua	1	3	pigeon	pigeon	true	24	further	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502122066712	9	hatchback	2	2	cuckoo	1	4	sling	3	1	pug	4	3	hatchback	hatchback	true	39	further	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502122085573	10	bluesedan	2	4	tomtit	3	2	woven	4	1	weimaraner	1	3	bluesedan	bluesedan	true	12	further	clickedObj
pilot1	1377-2105f297-3389-492a-a02e-513b0f5f28bb	1502122100921	11	redantique	4	1	brown	1	4	bluesport	2	3	white	3	2	redantique	redantique	true	32	closer	clickedObj
