gameid,time,roundNum,targetColH, targetColS,targetColL, sender,contents
2666-f,1452905524227,1,261,36,46,director,"violet"
2666-f,1452905549005,2,168,56,38,director,"cyan"
2666-f,1452905572838,3,352,88,34,director,"red"
2666-f,1452905587450,4,217,66,50,matcher,"wooo"
2666-f,1452905590138,4,217,66,50,director,"sky blue"
2666-f,1452905621981,5,180,45,47,director,"periwinkle blue"
2666-f,1452905633519,5,180,45,47,matcher,"are you a painter?"
2666-f,1452905646420,6,321,80,65,director,"no i'm just guessing"
2666-f,1452905659074,6,321,80,65,matcher,"no clue what periwinkle blue was"
2666-f,1452905665689,6,321,80,65,director,"pink"
2666-f,1452905684725,7,119,59,45,director,"green"
2666-f,1452905695440,8,320,99,34,director,"fuschia"
2666-f,1452905699355,8,320,99,34,matcher,"haha"
2666-f,1452905708293,8,320,99,34,matcher,"synonym?"
2666-f,1452905717436,8,320,99,34,director,"like a plum color"
2666-f,1452905730400,9,144,32,83,director,"ice blue"
2666-f,1452905747030,9,144,32,83,director,"like a pale silvery blue"
2666-f,1452905766937,10,345,98,75,director,"light pink"
2666-f,1452905781063,10,345,98,75,matcher,"can you see the color wheel?"
2666-f,1452905784580,10,345,98,75,director,"nope"
2666-f,1452905800113,11,308,54,35,director,"purple"
2666-f,1452905815661,12,289,97,44,director,"like.~~~~~~ another purple"
2666-f,1452905836662,13,212,89,65,director,"light blue"
2666-f,1452905860893,14,161,62,58,director,"a lighter blue. more white in this one"
2666-f,1452905880479,15,145,81,40,director,"green"
2666-f,1452905894364,16,323,63,53,director,"a dark pink"
2666-f,1452905912202,17,311,76,66,director,"light pink"
2666-f,1452905923749,18,109,94,79,director,"pale green"
2666-f,1452905941001,19,156,44,30,director,"greyish green"
2666-f,1452905959503,20,83,97,49,director,"yellowish green"
2666-f,1452905971559,21,294,82,67,director,"light purple"
2666-f,1452905991760,22,8,38,63,director,"salmon"
2666-f,1452906009632,22,8,38,63,director,"like.~~~~~~ a dull pink"
2666-f,1452906027845,23,254,58,73,director,"that periwinkle blue again"
2666-f,1452906031186,23,254,58,73,director,"a light blue with a little purple"
2666-f,1452906045271,24,263,85,52,director,"blue"
2666-f,1452906058060,25,224,54,43,director,"a little darker blue, not quite navy"
