gameid,time,roundNum,targetColH, targetColS,targetColL, sender,contents
3065-8,1452906240611,1,308,64,50,matcher,"what is the color?"
3065-8,1452906283686,2,91,57,53,matcher,"hello?"
3065-8,1452906319520,2,91,57,53,director,"hey"
3065-8,1452906325557,2,91,57,53,director,"lime green"
3065-8,1452906348893,3,353,92,46,director,"red"
3065-8,1452906365267,4,12,80,40,director,"dirty orange"
3065-8,1452906394770,5,6,67,45,director,"darker orange than the last one you choose"
3065-8,1452906435940,6,5,59,39,director,"brown and orange mix but about 75% brown"
3065-8,1452906489093,7,245,54,62,director,"light purple and blue mix"
3065-8,1452906511066,8,59,82,48,director,"straight yellow"
3065-8,1452906540338,9,131,86,50,director,"slightly darker than lime green"
3065-8,1452906573938,10,43,95,46,director,"goldenrod (gold)"
3065-8,1452906626626,11,44,75,52,director,"same color but a lighter shade"
3065-8,1452906661975,12,265,97,48,director,"purple and dark blue mix"
3065-8,1452906728235,13,165,69,80,director,"/light "
3065-8,1452906733542,13,165,69,80,director,"damnint"
3065-8,1452906739462,13,165,69,80,director,"light teal"
3065-8,1452906751283,13,165,69,80,matcher,"light damnit? lol"
3065-8,1452906798751,14,51,69,43,director,"dirty gold"
3065-8,1452906836396,15,111,97,63,director,"lime green"
3065-8,1452906865046,16,270,83,70,director,"light purple"
3065-8,1452906927764,17,192,94,48,director,"light blue"
3065-8,1452906952514,18,63,84,71,director,"pale yellow"
3065-8,1452906984482,19,293,84,58,director,"purple"
3065-8,1452907050905,20,47,16,38,director,"weird color here  http://i.imgur~~~com/RcnIcoE~~~png"
3065-8,1452907142784,21,20,23,56,director,"another wierd one http://imgur.com/sox2dTP"
3065-8,1452907197263,22,151,39,58,director,"teal and green"
3065-8,1452907229262,23,317,45,62,director,"pink with some purple"
3065-8,1452907254196,24,194,66,53,director,"sky blue"
3065-8,1452907307047,25,94,93,40,director,"bright but slighty dirty green. you post on MTF btw?"
3065-8,1452907325074,25,94,93,40,matcher,"MTF?"
3065-8,1452907330269,25,94,93,40,director,"mturkforum"
3065-8,1452907342907,25,94,93,40,matcher,"Oh. Nope"
3065-8,1452907349050,25,94,93,40,director,"ok"
3065-8,1452907380865,25,94,93,40,matcher,"been on there a few time but have never signed up"
