gameid,time,roundNum,targetColH, targetColS,targetColL, sender,contents
5443-a,1452905917407,1,251,53,55,director,"its purple"
5443-a,1452905932338,2,68,27,28,director,"lighter"
5443-a,1452905941246,2,68,27,28,director,"its grey brown"
5443-a,1452905976518,3,349,71,55,director,"dark ping"
5443-a,1452905981875,3,349,71,55,director,"pink"
5443-a,1452906018042,4,66,9,57,director,"grey ( alittle bit light)"
5443-a,1452906043990,5,79,74,47,director,"green/yellow"
5443-a,1452906074409,6,320,79,40,director,"purple ( a little bit light)"
5443-a,1452906098875,7,100,23,55,director,"grey with a little bit of green"
5443-a,1452906119169,8,175,47,78,director,"light light blue"
5443-a,1452906144945,9,134,90,31,director,"green"
5443-a,1452906164001,10,19,88,58,director,"orange pastel"
5443-a,1452906186504,11,294,86,38,director,"purple bright"
5443-a,1452906223395,12,70,50,56,director,"light green almost beige"
5443-a,1452906251589,13,147,48,22,director,"deep green (dark)"
5443-a,1452906280438,14,343,83,34,director,"purple/pink"
5443-a,1452906283919,14,343,83,34,director,"dark"
5443-a,1452906315201,15,68,70,52,director,"yellow with a little green"
5443-a,1452906328854,15,68,70,52,matcher,"Bright or dark?"
5443-a,1452906346634,15,68,70,52,director,"neither kinda dull i guess"
5443-a,1452906376638,16,185,8,70,director,"light grey (not too light)"
5443-a,1452906397727,17,265,91,39,director,"dark purple almost blue"
5443-a,1452906428612,18,104,99,70,director,"lime"
5443-a,1452906453449,19,67,74,54,director,"orange/yellow probably closer to yellow"
5443-a,1452906475751,20,257,80,71,director,"light purple pastel"
5443-a,1452906492281,21,148,42,63,director,"sea green"
5443-a,1452906511673,22,333,79,46,director,"deep pink"
5443-a,1452906541152,23,243,42,57,director,"blue ( a LITTLE purple)"
5443-a,1452906567126,24,176,83,38,director,"fifties kitchen blue"
5443-a,1452906573693,24,176,83,38,director,"pastel"
5443-a,1452906602591,25,191,34,43,director,"light blue (not too light)"
