gameid,roundNum,sender,tangramRef,pos,numWords,clauses,nouns,prepositions,verbs,determiners,pronouns,adjectives,adverbs,numbers,others,tags,acl
0955-2,1,director,L,"[u'NN', u'CD', u'VBZ', u'DT', u'NN', u'WDT', u'VBZ', u'IN', u'PRP', u'VBZ', u'VBG', u'IN', u'DT', u'NNS', u'TO', u'DT', u'NN']",17,False,4,2,4,4,1,0,0,1,1,"[u'ROOT', u'nsubj', u'nummod', u'cop', u'det', u'nsubj', u'ref', u'acl:relcl', u'mark', u'nsubj', u'aux', u'advcl:like', u'case', u'det', u'nmod:with', u'case', u'det', u'nmod:to']",True
0955-2,1,director,A,"[u'NN', u'CD', u'VBZ', u'DT', u'NN', u'WP', u'VBZ', u'IN', u'PRP', u'VBZ', u'VBG', u'IN', u'CD', u'NN', u'IN', u'DT', u'NN', u'TO', u'DT', u'NN', u'CC', u'PRP$', u'NN', u'IN', u'DT', u'NN']",26,False,7,4,4,4,3,0,0,2,1,"[u'ROOT', u'nsubj', u'nummod', u'cop', u'det', u'nsubj', u'ref', u'acl:relcl', u'mark', u'nsubj', u'aux', u'advcl:like', u'case', u'nummod', u'nmod:with', u'case', u'det', u'nmod:in', u'case', u'det', u'nmod:to', u'cc', u'nmod:poss', u'nmod:to', u'conj:and', u'case', u'det', u'nmod:on']",True
0955-2,1,director,C,"[u'NN', u'CD', u'VBZ', u'DT', u'NN', u'IN', u'PRP$', u'NNS', u'IN', u'DT', u'NN', u'VBG', u'IN', u'PRP', u'VBZ', u'VBG']",16,False,4,3,4,2,2,0,0,1,0,"[u'ROOT', u'nsubj', u'nummod', u'cop', u'det', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:in', u'acl', u'mark', u'nsubj', u'aux', u'advcl:like']",True
0955-2,1,director,I,"[u'NN', u'CD', u'FW', u'FW', u'NN', u'IN', u'PRP$', u'NN', u'NN', u'TO', u'DT', u'NN', u'IN', u'DT', u'NN', u'CC', u'PRP$', u'NNS', u'TO', u'DT', u'NN']",21,False,8,2,0,3,2,0,0,1,4,"[u'ROOT', u'nummod', u'amod', u'compound', u'dep', u'case', u'nmod:poss', u'compound', u'nmod:with', u'case', u'det', u'nmod:to', u'case', u'det', u'nmod:on', u'cc', u'nmod:poss', u'nmod:to', u'conj:and', u'case', u'det', u'nmod:to']",False
0955-2,1,director,G,"[u'NN', u'CD', u'VBZ', u'DT', u'NN', u'IN', u'NN', u'WDT', u'VBZ', u'RB', u'VB', u'IN', u'DT', u'NN']",14,False,4,2,3,3,0,0,1,1,0,"[u'ROOT', u'nsubj', u'nummod', u'cop', u'det', u'nsubj', u'case', u'nmod:on', u'ref', u'aux', u'neg', u'acl:relcl', u'case', u'det', u'nmod:like']",True
0955-2,1,director,B,"[u'NN', u'CD', u'VBZ', u'JJ', u'CC', u'IN', u'JJ', u'JJ', u'NNS']",9,True,2,1,1,0,0,3,0,1,0,"[u'ROOT', u'nsubj', u'nummod', u'xcomp', u'cc', u'case', u'amod', u'compound', u'nmod:with']",False
0955-2,1,director,D,"[u'NN', u'CD', u'VBZ', u'IN', u'DT', u'NN', u'VBG']",7,False,2,1,2,1,0,0,0,1,0,"[u'ROOT', u'nsubj', u'nummod', u'case', u'det', u'nmod:like', u'acl']",True
0955-2,1,director,H,"[u'NN', u'CD', u'VBZ', u'IN', u'DT', u'NN', u'IN', u'DT', u'NNS']",9,False,3,2,1,2,0,0,0,1,0,"[u'ROOT', u'nummod', u'dep', u'case', u'det', u'nmod:like', u'case', u'neg', u'nmod:with']",False
0955-2,1,director,E,"[u'NN', u'CD', u'VBZ', u'IN', u'DT', u'NN', u'VBG', u'IN', u'DT', u'NN']",10,False,3,2,2,2,0,0,0,1,0,"[u'ROOT', u'nsubj', u'nummod', u'case', u'det', u'nmod:like', u'acl', u'case', u'det', u'nmod:on']",True
0955-2,1,director,K,"[u'NN', u'CD', u'VBZ', u'IN', u'DT', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'TO', u'DT', u'NN']",13,False,4,2,2,2,1,0,0,1,1,"[u'ROOT', u'nsubj', u'nummod', u'case', u'det', u'nmod:like', u'acl', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:to']",True
