workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.id,Answer.catch_trials
0,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,37Q970SNZE85HZY81MTIO7DFN64S1W,0,Approved,Wed Apr 06 04:00:31 PDT 2016,Tue Apr 05 11:10:25 PDT 2016,Tue Apr 05 11:20:31 PDT 2016,Tue Apr 05 11:23:03 PDT 2016,,,,,"""3843-c""",[]
1,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,3HYA4D452RJ32FBIE6TXMR45QMOF2H,1,Approved,Wed Apr 06 04:01:08 PDT 2016,Tue Apr 05 11:10:21 PDT 2016,Tue Apr 05 11:21:08 PDT 2016,Tue Apr 05 11:23:03 PDT 2016,,,,,"""7555-2""",[]
2,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,36V4Q8R5ZK0Q085K24NBDZMH3TEMQ9,2,Approved,Wed Apr 06 04:04:09 PDT 2016,Tue Apr 05 11:10:20 PDT 2016,Tue Apr 05 11:24:09 PDT 2016,Tue Apr 05 11:25:37 PDT 2016,,,,,"""3540-a""",[]
3,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,34PGFRQONOB5JXVLBG9PPWCMN00JW6,3,Approved,Wed Apr 06 04:13:59 PDT 2016,Tue Apr 05 11:10:23 PDT 2016,Tue Apr 05 11:33:59 PDT 2016,Tue Apr 05 11:40:45 PDT 2016,,,,,"""9346-5""",[]
4,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,33PPUNGG385QBGJ3U825QRSVEJYRZW,4,Approved,Wed Apr 06 04:14:20 PDT 2016,Tue Apr 05 11:10:29 PDT 2016,Tue Apr 05 11:34:20 PDT 2016,Tue Apr 05 11:40:45 PDT 2016,,,,,"""9346-5""",[]
5,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,3KKG4CDWKIY44JZSFYCT5AFS72Q94G,5,Approved,Wed Apr 06 04:20:16 PDT 2016,Tue Apr 05 11:20:22 PDT 2016,Tue Apr 05 11:40:16 PDT 2016,Tue Apr 05 11:40:45 PDT 2016,,,,,"""9272-c""",[]
6,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,3JPSL1DZ5SZ4VAJ3P95P0EWC413ANR,6,Approved,Wed Apr 06 04:20:25 PDT 2016,Tue Apr 05 11:21:15 PDT 2016,Tue Apr 05 11:40:25 PDT 2016,Tue Apr 05 11:50:30 PDT 2016,,,,,"""9272-c""",[]
7,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,39OWYR0EPKRT304P7R0SVV5A51KFYZ,7,Approved,Wed Apr 06 04:23:18 PDT 2016,Tue Apr 05 11:25:46 PDT 2016,Tue Apr 05 11:43:18 PDT 2016,Tue Apr 05 11:50:30 PDT 2016,,,,,"""0881-5""",[]
8,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,3DY4FPOOA1O92WETTBD25LFZQ8SVR0,8,Approved,Wed Apr 06 04:23:21 PDT 2016,Tue Apr 05 11:23:20 PDT 2016,Tue Apr 05 11:43:21 PDT 2016,Tue Apr 05 11:50:30 PDT 2016,,,,,"""0881-5""",[]
9,344M16OZKIF4Z32LFC297ERJ3OHNE2,379L1CFRK7L5B66XTX729IUI7WGT85,colorReference,Play a fun game with another turker! One of you will be shown a color and will use a chat box to help the other person pick it out of a lineup.,language research stanford fun multiplayer game cognitive science university,$1.50,Tue Apr 05 11:09:54 PDT 2016,198,0,0,198,Reviewable,NotReviewed,1 cond,3600,60000,Thu May 05 11:09:54 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=344M16OZKIF4Z32LFC297ERJ3OHNE2,3OHYZ19UGC5MDVJFQO52F3WHUB8AO6,9,Approved,Wed Apr 06 04:29:22 PDT 2016,Tue Apr 05 11:10:21 PDT 2016,Tue Apr 05 11:49:22 PDT 2016,Tue Apr 05 11:50:30 PDT 2016,,,,,"""1168-a""",[]
