gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
0521-6,1479512463881,1,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 362, 217
0521-6,1479512481987,2,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 303, 213
0521-6,1479512503120,3,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 59, 168
0521-6,1479512588228,4,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 200, 250, 224, 228
0521-6,1479512646827,5,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 320, 345
0521-6,1479512688591,6,98, 82, 507, 293, 285, 63, 210, 107, 100, 65, 299, 540, 326, 547, 340
0521-6,1479512724105,7,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 113, 125
0521-6,1479512766387,8,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 323, 200, 344, 277
0521-6,1479512812598,9,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 119, 225
0521-6,1479512839906,10,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 402, 335
0521-6,1479512936518,11,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 214, 291
0521-6,1479512984942,12,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 345, 260
0521-6,1479513022694,13,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 250, 335
0521-6,1479513046855,14,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 269, 200
