gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
2457-7,1479508431628,1,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 408, 259
2457-7,1479508468177,2,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 430, 218
2457-7,1479508503523,3,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 463, 138
2457-7,1479508531693,4,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 200, 250, 218, 252
2457-7,1479508592669,5,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 301, 294
2457-7,1479508622936,6,98, 82, 507, 293, 285, 63, 210, 107, 100, 65, 299, 540, 326, 556, 337
2457-7,1479508649738,7,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 233, 113
2457-7,1479508676386,8,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 323, 200, 349, 218
2457-7,1479508703022,9,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 131, 161
2457-7,1479508737863,10,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 417, 335
2457-7,1479508780175,11,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 405, 199
2457-7,1479508820565,12,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 119, 231
2457-7,1479508858997,13,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 408, 246
2457-7,1479508905104,14,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 403, 138
2457-7,1479508955409,15,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 491, 339, 504, 344
2457-7,1479508990313,16,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 272, 141
2457-7,1479509017075,17,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 250, 100, 257, 121
2457-7,1479509039626,18,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 415, 160
2457-7,1479509079068,19,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 399, 198
2457-7,1479509139171,20,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 311, 250, 332, 258
2457-7,1479509191470,21,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 180, 60, 190, 77
2457-7,1479509233019,22,86, 52, 418, 165, 56, 303, 116, 106, 100, 279, 86, 390, 209, 412, 233
2457-7,1479509289326,23,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 199, 340, 218, 372
2457-7,1479509331775,24,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 120, 130, 132, 140
2457-7,1479509388471,25,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 470, 210, 494, 226
2457-7,1479509426233,26,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 355, 277, 365, 291
2457-7,1479509462272,27,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 200, 80, 228, 113
2457-7,1479509501376,28,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 110, 100, 137, 120
2457-7,1479509537906,29,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 50, 200, 74, 223
2457-7,1479509590196,30,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 500, 300, 519, 315
2457-7,1479509647973,31,53, 269, 294, 290, 115, 251, 294, 120, 100, 401, 255, 419, 125, 450, 141
2457-7,1479509688708,32,107, 56, 425, 163, 88, 134, 161, 123, 100, 262, 215, 262, 300, 285, 314
2457-7,1479509746849,33,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 500, 200, 508, 223
2457-7,1479509796372,34,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 300, 200, 320, 233
2457-7,1479509876167,35,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 357, 181, 369, 200
2457-7,1479509915599,36,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 239, 254, 229, 261
2457-7,1479509941581,37,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 360, 100, 385, 108
2457-7,1479509956300,38,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 260, 300, 295, 321
2457-7,1479509985149,39,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 410, 100, 389, 109
2457-7,1479510014599,40,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 120, 269, 145, 289
2457-7,1479510035166,41,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 310, 70, 323, 99
2457-7,1479510054081,42,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 300, 150, 303, 162
2457-7,1479510085854,43,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 300, 100, 316, 118
2457-7,1479510106161,44,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 310, 250, 332, 271
2457-7,1479510120689,45,87, 271, 113, 53, 60, 69, 272, 335, 100, 318, 75, 320, 100, 344, 115
2457-7,1479510134061,46,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 500, 166, 510, 191
2457-7,1479510158407,47,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 250, 279, 288, 281
2457-7,1479510180106,48,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 348, 236, 346, 259
2457-7,1479510198952,49,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 190, 360, 198, 371
2457-7,1479510213840,50,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 180, 340, 199, 352
