gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
4719-f,1479513344568,1,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 389, 257
4719-f,1479513390596,2,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 407, 193
4719-f,1479513443294,3,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 454, 149
4719-f,1479513517202,4,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 200, 250, 225, 274
4719-f,1479513585963,5,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 302, 336
4719-f,1479513611364,6,98, 82, 507, 293, 285, 63, 210, 107, 100, 65, 299, 540, 326, 554, 341
4719-f,1479513664656,7,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 223, 110
4719-f,1479513700675,8,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 323, 200, 333, 214
4719-f,1479513743476,9,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 120, 187
4719-f,1479513777345,10,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 411, 337
4719-f,1479513812553,11,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 179, 205
4719-f,1479513848889,12,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 117, 228
4719-f,1479513910217,13,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 430, 244
4719-f,1479513942688,14,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 393, 157
4719-f,1479514004239,15,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 491, 339, 490, 368
4719-f,1479514045801,16,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 264, 158
4719-f,1479514076078,17,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 250, 100, 262, 113
4719-f,1479514111382,18,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 414, 141
4719-f,1479514187882,19,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 405, 211
4719-f,1479514224851,20,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 311, 250, 329, 263
4719-f,1479514258742,21,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 180, 60, 200, 80
4719-f,1479514285389,22,86, 52, 418, 165, 56, 303, 116, 106, 100, 279, 86, 390, 209, 400, 224
4719-f,1479514311791,23,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 199, 340, 215, 356
4719-f,1479514347461,24,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 120, 130, 128, 163
4719-f,1479514397049,25,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 470, 210, 488, 238
4719-f,1479514422333,26,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 355, 277, 380, 293
4719-f,1479514456630,27,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 200, 80, 210, 109
4719-f,1479514484099,28,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 110, 100, 137, 119
4719-f,1479514518883,29,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 50, 200, 69, 222
4719-f,1479514545928,30,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 500, 300, 522, 316
4719-f,1479514581244,31,53, 269, 294, 290, 115, 251, 294, 120, 100, 401, 255, 419, 125, 456, 134
4719-f,1479514623109,32,107, 56, 425, 163, 88, 134, 161, 123, 100, 262, 215, 262, 300, 279, 334
4719-f,1479514673309,33,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 500, 200, 519, 224
4719-f,1479514737922,34,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 300, 200, 315, 215
4719-f,1479514765564,35,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 357, 181, 373, 209
4719-f,1479514807764,36,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 239, 254, 251, 266
4719-f,1479514831648,37,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 360, 100, 381, 109
4719-f,1479514863573,38,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 260, 300, 276, 318
4719-f,1479514894674,39,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 410, 100, 421, 125
4719-f,1479514938438,40,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 120, 269, 125, 284
4719-f,1479514984085,41,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 310, 70, 327, 92
4719-f,1479515022897,42,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 300, 150, 312, 160
4719-f,1479515054454,43,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 300, 100, 317, 111
