gameid	time	trialNum	strokeNum	targetName	shiftKeyUsed	svg
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321402797	1	1	crow	1	M135,108c25.03864,0 68.09284,-37.09284 80,-49c0.26471,-0.26471 2.58824,0 3,0c4.55268,0 26.10831,-4.89169 30,-1c2.16667,2.16667 6.83333,1.83333 9,4c0.5,0.5 2.5,-0.5 3,0c4.93463,4.93463 16.45651,11.91302 20,19c2.53421,5.06842 3.99306,10.99306 8,15c0.2357,0.2357 0.2357,0.7643 0,1c-7.5,7.5 -33.5,-3.5 -41,4c-6.18487,6.18487 -6.64737,19.64737 -13,26c-9.73521,9.73521 -9.56147,92.56147 -23,106c-7.06248,7.06248 -10.41952,15.41952 -17,22c-4.91588,4.91588 -42.59731,8.59731 -45,11c-1.31195,1.31195 -64.85046,-1.14954 -70,4c-10.54621,10.54621 -47.07582,15.07582 -58,26c-0.33333,0.33333 -0.5286,1 -1,1
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321405712	1	2	crow	0	M138,106c-13.02478,0 -31.84101,24.84101 -40,33c-7.42049,7.42049 -15.59291,14.59291 -23,22c-12.61535,12.61535 -18.37705,37.37705 -31,50c-8.07901,8.07901 -8.90033,19.90033 -16,27c-5.40676,5.40676 -6.43266,35.43266 -9,38c-6.01537,6.01537 -10,29.4773 -10,38
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321407544	1	3	crow	0	M146,263c0,4.33363 1.1193,25 -2,25
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321408452	1	4	crow	0	M197,257c0,4.8018 2.22951,24 -3,24
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321408859	1	5	crow	0	M194,281c0,2.54372 -4,4.87705 -4,7
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321409294	1	6	crow	0	M200,281c7.48522,0 12.12718,6 17,6
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321409736	1	7	crow	0	M198,278c0,5.18763 2.14875,9.14875 5,12
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321410977	1	8	crow	0	M143,285c-5.22739,0 -37.88285,11 -18,11
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321411476	1	9	crow	0	M139,288c4.42335,0 5.2618,3.2618 8,6
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321411961	1	10	crow	0	M148,286c7.46084,0 11.63168,4 16,4
4747-d7eba975-9806-4249-84fb-9c3c5235ed66	1493321416750	1	11	crow	0	M190,85c17.57471,0 2.99281,14.99281 11,23c2.33333,2.33333 8.66667,0.66667 11,3c2.08027,2.08027 -1.71042,4.71042 -2,5c-8.43439,8.43439 7.64701,19.64701 10,22c3.26132,3.26132 -7.75696,12.24304 -3,17c1.51431,1.51431 7,3.40592 7,6
