gameid	time	trialNum	strokeNum	targetName	svg
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069172484	1	1	leather	M72.77774,73.04166c0,9.33333 0,18.66667 0,28c0,30.51959 3,60.06154 3,90c0,2.07667 1.97957,8 3,8
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069177673	1	2	leather	M73.77774,77.04166c34.90026,0 69.71147,-11 105,-11c4.82036,0 25.78422,-7.21578 30,-3c0.93349,0.93349 0,8.3828 0,10c0,2.30523 1.30092,13.69908 0,15c-2.16667,2.16667 -23.48953,1.94686 -27,3c-12.85262,3.85579 -25.87596,10.81266 -39,13c-26.25675,4.37612 -48.08113,-2 -74,-2
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069186428	1	3	leather	M73.77774,108.04166c0,18.81566 49.74439,45.74439 60,56c2.79646,2.79646 64.98946,13 72,13c1.30309,0 52.10383,0.89617 53,0c0.95333,-0.95333 0,-8.54536 0,-10c0,-2.54743 1.65835,-15.34165 0,-17c-6.75948,-6.75948 -75.35804,9.47599 -91,6c-19.30828,-4.29073 -40.10764,-7 -60,-7
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069190123	1	4	leather	M73.77774,193.04166c12.7032,0 44.02406,31.02406 50,37c0.42411,0.42411 4.68874,2.31126 6,1c2.75567,-2.75567 -2,-56.64838 -2,-70
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069192813	1	5	leather	M129.77774,232.04166c8.95783,0 107.84538,-9.15462 112,-5c2.04379,2.04379 0,48.61622 0,59
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069194091	1	6	leather	M127.77774,237.04166c0,25 0,50 0,75c0,1.28122 0.95275,4 2,4
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069195955	1	7	leather	M73.77774,184.04166c0,34.99623 4,76.6339 4,108
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069229444	2	1	chihuahua	M101.77774,92.04166c0,9.70905 -6.08837,14 -16,14c-0.88056,0 -5.80417,0.39166 -6,0c-1.54095,-3.08189 3.46461,-7.53539 2,-9c-1.92783,-1.92783 -4.67612,3.32388 -7,1c-8.72775,-8.72775 10.64683,-20.47025 13,-24c1.77722,-2.66583 -0.60588,-6.78825 1,-10c2.10734,-4.21468 13.82397,-4 20,-4c0.61024,0 3.61036,0.38964 4,0c1.33333,-1.33333 -1.33333,-6.66667 0,-8c0.33333,-0.33333 0.66667,-0.66667 1,-1c0.5,-0.5 0.5,-1.5 1,-2c0.70711,-0.70711 2,0 3,0c7.44544,0 0.27153,11.27153 2,13c0.92126,0.92126 8.87796,0 10,0c10.72238,0 73.41174,10.11761 76,14c0.14028,0.21043 7.33252,0.77751 8,1c37.37733,12.45911 37.44549,-16 57,-16c0.33333,0 0.7643,-0.2357 1,0c0.62216,0.62216 -2.46292,2.19438 -3,3c-3.77295,5.65942 -19.86966,18 -26,18
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069254355	2	2	chihuahua	M235.77774,80.04166c0,2.61065 3.72753,11.45506 5,14c3.4358,6.8716 -5.23716,27.76284 0,33c11.3114,11.3114 14,40.26704 14,57c0,1 0.70711,2.29289 0,3c-0.97605,0.97605 -8.25587,2 -9,2c-0.59372,0 -4,3 -4,3c0,0 7.44988,-10.55012 7,-11c-1.69139,-1.69139 -4.79632,-1.79632 -7,-4c-0.55952,-0.55952 -7.7311,-43.7311 -8,-44c-2.48486,-2.48486 -1.78876,18.09888 -2,20c-1.64218,14.77959 -1.84051,34 -16,34c-1.20182,0 -7.14102,0.85898 -8,0c-3.52705,-3.52705 6.85349,-6.85349 8,-8c0.4714,-0.4714 0,-1.33333 0,-2c0,-5.32199 1.37041,-44.62959 0,-46c-2.86218,-2.86218 -45.98172,3.00914 -54,-1c-9.78518,-4.89259 -18.08937,-7.54469 -27,-12c-2.65955,-1.32978 -2.05366,-6 -6,-6c-3.33333,0 0,6.66667 0,10c0,9.95617 -7.33211,71.66789 -27,52c-8.86243,-8.86243 5.43231,-4.43231 8,-7c1.70443,-1.70443 -0.28705,-38.4259 2,-43c1.20438,-2.40876 14.65726,-10.34274 11,-14c-5.22601,-5.22601 -18.6214,15.9321 -20,18c-2.42214,3.63321 3.07217,15.92783 0,19c-6.16654,6.16654 -14.12782,31.87218 -27,19c-2.70419,-2.70419 2.71881,-4.71881 3,-5c1,-1 5,1 6,0c0.4714,-0.4714 0,-1.33333 0,-2c0,-14.51205 2.15575,-28.23362 10,-40c3.3436,-5.0154 15.6185,-6.23699 19,-13c4.72862,-9.45723 -12.84091,4.15909 -14,3c-0.89075,-0.89075 0,-20.50544 0,-16
6802-2344f3e8-d20a-418b-a5e8-5e37ea1a62f7	1493069260819	2	3	chihuahua	M99.77774,71.04166c0,-1.031 -5,-22 -5,-22c0,0 0.17538,2.90051 1,4c1.29852,1.73136 7.51335,0.0267 8,1c1.03242,2.06483 0,7.60968 0,10c0,1.57385 0.77946,6 -1,6
